player,andy,brandon,brian,cade,darwin,josh,lindsey,sequential,sophie,steve,steven,sun,susi,susu,tang,yang,andy,brandon,brian,cade,darwin,josh,lindsey,sequential,sophie,steve,steven,sun,susi,susu,tang,yang
andy,59,67,50,50,62,71,67,75,58,50,64,33,25,0,87,0,22/37,2/3,7/14,6/12,10/16,10/14,8/12,3/4,14/24,3/6,7/11,1/3,1/4,0/2,13/15,0/1
brandon,67,29,100,0,0,0,0,0,33,20,50,0,,,100,,2/3,2/7,1/1,0/3,0/1,0/1,0/3,0/1,1/3,1/5,2/4,0/2,,,1/1,
brian,50,100,42,30,53,38,40,38,50,25,44,25,14,33,73,,7/14,1/1,13/31,3/10,9/17,3/8,6/15,3/8,4/8,1/4,4/9,1/4,1/7,1/3,8/11,
cade,50,0,30,50,61,53,56,50,54,17,40,50,43,,71,,6/12,0/3,3/10,16/32,11/18,9/17,9/16,2/4,7/13,1/6,2/5,4/8,3/7,,5/7,
darwin,62,0,53,61,59,65,59,62,73,40,25,38,57,100,92,,10/16,0/1,9/17,11/18,24/41,11/17,13/22,5/8,8/11,4/10,1/4,5/13,4/7,2/2,11/12,
josh,71,0,38,53,65,56,61,33,57,40,60,45,40,0,90,,10/14,0/1,3/8,9/17,11/17,20/36,14/23,2/6,8/14,4/10,3/5,5/11,2/5,0/1,9/10,
lindsey,67,0,40,56,59,61,51,30,53,38,50,44,25,,91,,8/12,0/3,6/15,9/16,13/22,14/23,21/41,3/10,8/15,5/13,3/6,4/9,1/4,,10/11,
sequential,75,0,38,50,62,33,30,41,33,38,33,0,38,60,100,0,3/4,0/1,3/8,2/4,5/8,2/6,3/10,11/27,5/15,3/8,1/3,0/6,5/13,3/5,5/5,0/4
sophie,58,33,50,54,73,57,53,33,51,38,55,50,14,0,85,0,14/24,1/3,4/8,7/13,8/11,8/14,8/15,5/15,21/41,3/8,6/11,5/10,1/7,0/2,11/13,0/4
steve,50,20,25,17,40,40,38,38,38,39,60,14,67,100,100,0,3/6,1/5,1/4,1/6,4/10,4/10,5/13,3/8,3/8,9/23,3/5,1/7,2/3,2/2,2/2,0/2
steven,64,50,44,40,25,60,50,33,55,60,50,25,50,,83,0,7/11,2/4,4/9,2/5,1/4,3/5,3/6,1/3,6/11,3/5,10/20,1/4,1/2,,5/6,0/2
sun,33,0,25,50,38,45,44,0,50,14,25,36,0,,80,0,1/3,0/2,1/4,4/8,5/13,5/11,4/9,0/6,5/10,1/7,1/4,8/22,0/2,,4/5,0/2
susi,25,,14,43,57,40,25,38,14,67,50,0,37,43,100,0,1/4,,1/7,3/7,4/7,2/5,1/4,5/13,1/7,2/3,1/2,0/2,7/19,3/7,1/1,0/1
susu,0,,33,,100,0,,60,0,100,,,43,43,,,0/2,,1/3,,2/2,0/1,,3/5,0/2,2/2,,,3/7,3/7,,
tang,87,100,73,71,92,90,91,100,85,100,83,80,100,,85,,13/15,1/1,8/11,5/7,11/12,9/10,10/11,5/5,11/13,2/2,5/6,4/5,1/1,,22/26,
yang,0,,,,,,,0,0,0,0,0,0,,,0,0/1,,,,,,,0/4,0/4,0/2,0/2,0/2,0/1,,,0/4
